"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.98801521","Sample-Routine","Water","Surface Water","19201987-11-04","14:05:00","MST","","","",NA,"",NA,NA,NA,NA,NA,"","U.S. Geological Survey-Water Resources Discipline","USGS-09073400","","","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",111,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.98801523","Sample-Routine","Water","Surface Water","19201988-01-12","15:00:00","MST","","","",NA,"",NA,NA,NA,NA,NA,"","U.S. Geological Survey-Water Resources Discipline","USGS-09073400","","","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",115,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.99500975","Sample-Routine","Water","Surface Water","19201995-01-17","15:40:00","MST","","","",NA,"",NA,NA,NA,NA,NA,"","U.S. Geological Survey-Water Resources Discipline","USGS-09073400","","","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",115,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.98102436","Sample-Routine","Water","Surface Water","19201980-10-14","18:00:00","MDT","","","",NA,"",NA,NA,NA,NA,NA,"","","USGS-09073400","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",115,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.98801525","Sample-Routine","Water","Surface Water","19201988-04-06","09:45:00","MDT","","","",NA,"",NA,NA,NA,NA,NA,"","U.S. Geological Survey-Water Resources Discipline","USGS-09073400","","","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",117,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.97802187","Sample-Routine","Water","Surface Water","19201978-02-15","","","","","",NA,"",NA,NA,NA,NA,NA,"","","USGS-09073400","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",120,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.97902550","Sample-Routine","Water","Surface Water","19201979-01-18","","","","","",NA,"",NA,NA,NA,NA,NA,"","","USGS-09073400","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",120,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.98801524","Sample-Routine","Water","Surface Water","19201988-02-24","10:10:00","MST","","","",NA,"",NA,NA,NA,NA,NA,"","U.S. Geological Survey-Water Resources Discipline","USGS-09073400","","","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",122,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.98403224","Sample-Routine","Water","Surface Water","19201984-06-04","13:15:00","MDT","","","",NA,"",NA,NA,NA,NA,NA,"","U.S. Geological Survey-Water Resources Discipline","USGS-09076520","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",135,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
"USGS-CO","USGS Colorado Water Science Center","nwisco.01.97502302","Sample-Routine","Water","Surface Water","19201975-04-09","17:50:00","MDT","","","",NA,"",NA,NA,NA,NA,NA,"","","USGS-392449107091800","","Alluvium, Flood Plain","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Specific conductance","Total",1420,"uS/cm @25C",NA,"Historical",NA,"Actual",NA,NA,"25 deg C",NA,NA,"",95,NA,NA,NA,NA,NA,"","","","","","",NA,"",NA,"","","NWIS"
