ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.97102045,1971-08-23,USGS-09085000,Not determined,Routine sample,7.9,
nwisco.01.00402939,2004-07-13,USGS-09081000,"Stable, normal stage",Routine sample,7.9,
nwisco.01.00004471,2000-08-21,USGS-09073300,"Stable, normal stage",Routine sample,7.9,
nwisco.01.97502314,1975-04-23,USGS-392555107042700,Not determined,Routine sample,7.9,Quaternary System
nwisco.01.00102150,2001-04-05,USGS-09073300,Rising stage,Snowmelt,7.9,
nwisco.01.97603430,1976-05-18,USGS-391531106525200,Not determined,Routine sample,7.9,
nwisco.01.00104384,2001-07-17,USGS-09073300,"Stable, normal stage",Routine sample,7.9,
nwisco.01.00802739,2008-07-28,USGS-09081000,"Stable, normal stage",Routine sample,7.9,
nwisco.01.00802315,2008-06-17,USGS-09081000,Rising stage,Routine sample,7.9,
nwisco.01.00001293,2000-02-17,USGS-09073300,"Stable, low stage",Routine sample,8.0,
nwisco.01.96000807,1960-04-21,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.00304225,2003-09-03,USGS-09073300,"Stable, low stage",Routine sample,8.0,
nwisco.01.96400637,1964-05-14,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.96400638,1964-05-17,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.00003996,2000-07-25,USGS-09073300,"Stable, low stage",Routine sample,8.0,
nwisco.01.97201717,1971-11-29,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.99801435,1998-03-13,USGS-09085000,"Stable, low stage",Routine sample,8.0,
nwisco.01.96100737,1961-05-22,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.96100740,1961-06-04,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.96701462,1967-08-01,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.99900868,1999-01-21,USGS-09081000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.00700626,2007-02-08,USGS-09085000,"Stable, normal stage",Routine sample,8.0,
nwisco.01.98102627,1981-06-12,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.00100285,2000-11-07,USGS-09073300,"Stable, low stage",Routine sample,8.0,
nwisco.01.98102603,1980-12-24,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.98102595,1980-10-28,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.97603403,1976-08-24,USGS-391239106501900,Not determined,Routine sample,8.0,
nwisco.01.98002389,1980-04-25,USGS-09085000,Not determined,Routine sample,8.0,
nwisco.01.00802313,2008-06-16,USGS-09085000,Rising stage,Routine sample,8.0,
nwisco.01.01604565,2016-09-26,USGS-09081000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.00703258,2007-09-19,USGS-09081000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.99803067,1998-07-29,USGS-09085000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.96400648,1964-08-01,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.00304226,2003-09-04,USGS-09081000,"Stable, low stage",Routine sample,8.1,
nwisco.01.98002375,1980-01-28,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98002402,1980-07-03,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.00503412,2005-09-08,USGS-09073300,"Stable, normal stage",Routine sample,8.1,
nwisco.01.00701558,2007-06-06,USGS-09085000,"Stable, high stage",Routine sample,8.1,
nwisco.01.98102607,1981-01-22,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98102618,1981-04-10,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98102631,1981-07-10,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.98102640,1981-09-11,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.96701434,1967-02-15,USGS-09085000,Not determined,Routine sample,8.1,
nwisco.01.01600548,2016-01-05,USGS-09081000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.01402318,2014-07-16,USGS-09081000,"Stable, normal stage",Routine sample,8.1,
nwisco.01.01802005,2018-06-21,USGS-09081000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.01202582,2012-06-18,USGS-09085000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.01306529,2013-09-07,USGS-09073300,"Stable, normal stage",Routine sample,8.2,
nwisco.01.01104183,2011-08-16,USGS-09081000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.99602283,1996-06-13,USGS-09085000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.99902093,1999-05-27,USGS-09085000,"Stable, high stage",Snowmelt,8.2,
nwisco.01.98002409,1980-08-13,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98102592,1980-10-10,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98102605,1981-01-08,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98102614,1981-03-13,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.00000941,1999-12-29,USGS-392110107011300,"Stable, normal stage",Under ice cover,8.2,
nwisco.01.98102624,1981-05-21,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98102628,1981-06-19,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.98102632,1981-07-16,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.96701461,1967-07-26,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.99902191,1999-06-02,USGS-09081000,"Stable, high stage",Snowmelt,8.2,
nwisco.01.98102637,1981-08-21,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.99600128,1995-10-19,USGS-09085000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.96100743,1961-06-16,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.97102034,1971-02-22,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.00303469,2003-07-22,USGS-09081000,"Stable, low stage",Routine sample,8.2,
nwisco.01.00601099,2006-04-13,USGS-09085000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.00101840,2001-03-09,USGS-392110107011300,"Stable, low stage",Spring breakup,8.2,
nwisco.01.97502292,1975-02-18,USGS-392337107052200,Not determined,Routine sample,8.2,
nwisco.01.96400650,1964-09-01,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.96400646,1964-07-19,USGS-09085000,Not determined,Routine sample,8.2,
